qaccver	saccver	bitscore	evalue	qlen	slen	length	qstart	qend	sstart	send	qcovs	pident	subject_gcf
WP_002851328.1	AKU98295.1	32.3	0.27	788	291	95	300	392	47	135	12	27.368000000000002	GCA_001263205.1
WP_002851328.1	WP_012750409.1	33.5	0.07200000000000001	788	1619	205	340	527	39	227	24	23.901999999999997	GCF_000010665.1
WP_002851328.1	WP_011366889.1	39.7	0.000727	788	886	48	344	391	718	761	6	37.5	GCF_000012665.1
WP_002851328.1	WP_011552090.1	35.8	0.015	788	240	94	332	425	9	94	12	24.468000000000004	GCF_000012685.1
WP_002851328.1	WP_081425052.1	30.4	0.38	788	594	95	329	423	277	363	12	26.316	GCF_000012885.1
WP_002851328.1	WP_004512000.1	30.8	0.073	788	90	33	443	475	17	49	4	36.364000000000004	GCF_000012925.1
WP_002851328.1	WP_011423173.1	29.6	0.96	788	545	49	643	691	298	346	6	30.612	GCF_000013385.1
WP_002851328.1	WP_011417562.1	29.3	0.94	788	1026	43	553	595	644	681	5	37.209	GCF_000013405.1
WP_002851328.1	WP_083761190.1	29.3	1.0	788	451	57	711	767	96	149	7	28.07	GCF_000015045.1
WP_002851328.1	WP_012174696.1	28.9	1.6	788	879	154	295	438	455	599	18	22.726999999999997	GCF_000018405.1
WP_002851328.1	WP_012528213.1	29.6	0.94	788	541	49	643	691	294	342	6	30.612	GCF_000020805.1
WP_002851328.1	WP_012611092.1	30.8	0.58	788	449	57	592	648	38	89	7	29.825	GCF_000021905.1
WP_002851328.1	WP_015935301.1	29.6	0.95	788	541	49	643	691	294	342	6	30.612	GCF_000022145.1
WP_002851328.1	WP_012648629.1	34.7	0.023	788	690	175	423	589	237	405	21	26.285999999999998	GCF_000022265.1
WP_002851328.1	WP_015752541.1	30.4	0.16	788	177	115	378	492	48	148	15	26.087	GCF_000024325.1
WP_002851328.1	WP_083778947.1	38.9	0.001	788	523	100	328	424	341	429	13	29.0	GCF_000143965.1
WP_002851328.1	WP_013376900.1	34.7	0.077	788	4089	141	291	425	3382	3509	17	25.531999999999996	GCF_000165485.1
WP_002851328.1	WP_015719933.1	33.1	0.096	788	578	102	320	409	20	121	11	30.392	GCF_000175115.2
WP_002851328.1	WP_013516118.1	37.0	0.002	788	206	162	271	432	62	206	21	24.691	GCF_000176915.2
WP_002851328.1	WP_052297320.1	28.5	0.57	788	274	76	311	379	205	273	9	28.947	GCF_000194135.1
WP_002851328.1	WP_083800240.1	30.8	0.14	788	190	102	327	428	94	187	13	24.51	GCF_000195295.1
WP_002851328.1	WP_013938605.1	35.8	0.013000000000000001	788	240	94	332	425	9	94	12	24.468000000000004	GCF_000219105.1
WP_002851328.1	WP_014395392.1	36.2	0.027000000000000003	788	4091	195	267	450	3359	3539	23	25.128	GCF_000255295.1
WP_002851328.1	WP_002637339.1	35.8	0.015	788	240	94	332	425	9	94	12	24.468000000000004	GCF_000280925.3
WP_002851328.1	WP_015350881.1	37.7	0.008	788	4091	266	217	450	3287	3539	39	22.555999999999997	GCF_000331735.1
WP_002851328.1	WP_015413370.1	35.8	0.006999999999999999	788	388	133	515	646	235	352	17	30.075	GCF_000341895.1
WP_002851328.1	WP_053234357.1	37.7	0.008	788	3356	244	300	530	2611	2830	29	24.18	GCF_000737325.1
WP_002851328.1	WP_084201312.1	32.7	0.094	788	733	129	407	530	236	342	16	27.131999999999998	GCF_000817955.1
WP_002851328.1	WP_047857288.1	35.0	0.047	788	503	151	360	505	205	343	19	26.49	GCF_001027285.1
WP_002851328.1	WP_050725121.1	33.5	0.055999999999999994	788	498	136	354	476	52	169	16	25.735	GCF_001263175.1
WP_002851328.1	WP_095976093.1	33.9	0.12	788	1795	118	575	673	693	810	13	23.729	GCF_002305855.1
WP_002851328.1	WP_095983362.1	33.1	0.24	788	921	104	301	398	699	798	12	23.076999999999998	GCF_002305875.1
WP_002851328.1	WP_013938605.1	35.8	0.013999999999999999	788	240	94	332	425	9	94	12	24.468000000000004	GCF_002305895.1
WP_002851328.1	WP_104978283.1	34.7	0.095	788	1152	90	138	225	191	274	11	30.0	GCF_002950945.1
WP_002851328.1	WP_111332821.1	32.0	0.2	788	933	60	371	427	351	410	7	30.0	GCF_003258315.1
WP_002851328.1	WP_120619113.1	34.7	0.035	788	240	102	324	425	1	94	13	21.569000000000003	GCF_004104415.1
WP_002851328.1	WP_129353889.1	28.1	6.7	788	439	49	299	346	265	313	6	26.531	GCF_004135735.1
WP_002851328.1	WP_129576392.1	29.3	3.5	788	797	140	517	646	109	236	16	17.857	GCF_004135755.1
WP_002851328.1	WP_011552090.1	35.8	0.015	788	240	94	332	425	9	94	12	24.468000000000004	GCF_006400955.1
WP_002851328.1	WP_011552090.1	35.8	0.015	788	240	94	332	425	9	94	12	24.468000000000004	GCF_006401215.1
WP_002851328.1	WP_011552090.1	35.8	0.015	788	240	94	332	425	9	94	12	24.468000000000004	GCF_006401635.1
WP_002851328.1	WP_011552090.1	35.8	0.015	788	240	94	332	425	9	94	12	24.468000000000004	GCF_006402015.1
WP_002851328.1	WP_011552090.1	35.8	0.015	788	240	94	332	425	9	94	12	24.468000000000004	GCF_006402415.1
WP_002851328.1	WP_011552090.1	35.8	0.015	788	240	94	332	425	9	94	12	24.468000000000004	GCF_006402735.1
WP_002851328.1	WP_141200466.1	32.7	0.2	788	770	107	682	788	547	640	14	22.43	GCF_006517175.1
