qaccver	saccver	bitscore	evalue	qlen	slen	length	qstart	qend	sstart	send	qcovs	pident	subject_gcf
WP_002854338.1	APR85637.1	38.9	0.005	820	1450	237	127	356	636	814	28	23.629	GCA_001931535.1
WP_002854338.1	SCM74695.1	28.5	1.6	820	396	43	113	155	288	330	5	30.233	GCA_900095395.1
WP_002854338.1	WP_081428072.1	33.9	0.04	820	811	121	126	242	35	151	14	23.14	GCF_000012665.1
WP_002854338.1	WP_004512497.1	31.2	0.23	820	267	48	488	535	96	143	6	27.083	GCF_000012925.1
WP_002854338.1	WP_049749870.1	31.2	0.23	820	635	47	484	530	47	93	6	34.043	GCF_000013405.1
WP_002854338.1	WP_011416791.1	31.2	0.23	820	563	41	492	532	408	448	18	29.268	GCF_000013405.1
WP_002854338.1	WP_011526695.1	30	0.27	820	573	56	760	815	136	191	19	26.786	GCF_000055945.1
WP_002854338.1	WP_014323965.1	32	0.17	820	492	38	496	533	398	435	5	34.211	GCF_000189295.2
WP_002854338.1	WP_041324031.1	32	0.058	820	276	49	484	532	177	225	26	28.571	GCF_000194135.1
WP_002854338.1	WP_004073306.1	33.5	0.057	820	784	84	141	222	300	383	18	27.381	GCF_000233695.2
WP_002854338.1	WP_011526695.1	30	0.27	820	573	56	760	815	136	191	19	26.786	GCF_000331715.1
WP_002854338.1	WP_015405344.1	33.1	0.065	820	435	79	128	203	20	98	9	30.38	GCF_000341395.1
WP_002854338.1	WP_084323660.1	31.6	0.11	820	906	115	264	368	786	900	13	27.826	GCF_000517565.1
WP_002854338.1	WP_039741284.1	30.8	0.23	820	264	117	417	530	89	204	14	21.368	GCF_000817955.1
WP_002854338.1	WP_040201132.1	36.2	0.007	820	469	67	223	275	291	357	6	32.836	GCF_000827125.1
WP_002854338.1	WP_083522182.1	35	0.014	820	451	51	480	530	346	396	6	35.294	GCF_001553605.1
WP_002854338.1	WP_096399554.1	29.3	0.36	820	396	43	113	155	288	330	5	32.558	GCF_002355955.1
WP_002854338.1	WP_104981112.1	34.3	0.14	820	1555	85	130	204	735	818	9	24.706	GCF_002950945.1
WP_002854338.1	WP_104936572.1	33.5	0.035	820	395	34	181	214	279	312	4	47.059	GCF_002952055.1
WP_002854338.1	WP_111959608.1	28.9	1.4	820	239	38	353	390	150	183	5	36.842	GCF_004319545.1
WP_002854338.1	WP_097010380.1	37.4	0.003	820	370	80	126	204	124	201	10	25	GCF_900217235.1
