qaccver	saccver	bitscore	evalue	qlen	slen	length	qstart	qend	sstart	send	qcovs	pident	subject_gcf
WP_002854338.1	ADW17741.1	31.6	0.18	820	409	49	178	226	49	97	12	32.653	GCA_000186885.1
WP_002854338.1	AKU97121.1	35.0	0.066	820	939	98	286	375	314	410	11	28.570999999999998	GCA_001263205.1
WP_002854338.1	NP_952509.1	31.6	0.19	820	524	52	146	196	157	208	6	32.692	GCF_000007985.2
WP_002854338.1	WP_043600614.1	36.6	0.008	820	447	84	456	536	316	399	14	28.570999999999998	GCF_000010665.1
WP_002854338.1	WP_011554852.1	36.2	0.019	820	478	298	266	531	45	330	32	22.819000000000003	GCF_000012685.1
WP_002854338.1	WP_011342897.1	31.6	0.18	820	313	116	252	359	66	179	25	25.0	GCF_000012885.1
WP_002854338.1	WP_011422127.1	36.6	0.008	820	697	80	455	532	514	593	10	27.5	GCF_000013385.1
WP_002854338.1	WP_083763994.1	43.5	5.39e-05	820	567	224	328	537	199	403	34	24.554000000000002	GCF_000014965.1
WP_002854338.1	WP_083761297.1	33.1	0.057999999999999996	820	377	240	316	532	69	298	26	21.25	GCF_000015045.1
WP_002854338.1	WP_010940530.1	30.8	0.19	820	207	96	270	364	70	148	23	26.041999999999998	GCF_000015485.1
WP_002854338.1	WP_011937625.1	37.0	0.005	820	632	159	456	604	365	519	28	25.156999999999996	GCF_000016745.1
WP_002854338.1	WP_012098491.1	37.4	0.004	820	495	79	456	532	40	118	9	24.051	GCF_000017505.1
WP_002854338.1	WP_012175835.1	38.9	0.001	820	792	61	488	543	516	575	11	36.066	GCF_000018405.1
WP_002854338.1	WP_015904283.1	30.0	0.92	820	458	53	280	329	260	311	6	37.736	GCF_000020365.1
WP_002854338.1	WP_012471405.1	33.5	0.05	820	306	78	266	340	150	224	18	34.615	GCF_000020385.1
WP_002854338.1	WP_012532034.1	36.2	0.004	820	185	133	98	220	5	124	15	24.811999999999998	GCF_000020725.1
WP_002854338.1	WP_012527168.1	34.3	0.045	820	697	65	474	532	529	593	7	29.230999999999998	GCF_000020805.1
WP_002854338.1	WP_015946472.1	33.1	0.076	820	807	123	175	291	639	753	14	24.39	GCF_000021385.1
WP_002854338.1	WP_015946975.1	47.0	6.16e-06	820	661	380	181	545	85	434	45	24.474	GCF_000021905.1
WP_002854338.1	WP_012624293.1	33.9	0.023	820	453	126	459	576	328	453	14	19.840999999999998	GCF_000022125.1
WP_002854338.1	WP_015934605.1	32.0	0.17	820	274	62	471	532	85	146	8	29.031999999999996	GCF_000022145.1
WP_002854338.1	WP_041267164.1	36.2	0.008	820	618	220	162	370	92	305	33	25.0	GCF_000022265.1
WP_002854338.1	WP_015774079.1	30.8	0.24	820	214	60	182	239	113	172	7	30.0	GCF_000023225.1
WP_002854338.1	WP_015852842.1	30.8	0.32	820	264	44	488	531	184	227	5	31.818	GCF_000023445.1
WP_002854338.1	WP_015839029.1	35.4	0.016	820	1034	153	86	233	92	227	42	28.105	GCF_000023645.1
WP_002854338.1	WP_015752165.1	36.2	0.006	820	572	64	175	237	489	552	8	28.125	GCF_000024325.1
WP_002854338.1	WP_012829731.1	37.0	0.006	820	249	91	143	231	3	93	11	32.967	GCF_000024805.1
WP_002854338.1	WP_041278094.1	32.3	0.1	820	418	51	157	205	73	123	6	35.294000000000004	GCF_000025945.1
WP_002854338.1	WP_012234689.1	37.7	0.006999999999999999	820	337	52	151	201	45	96	6	36.538000000000004	GCF_000067165.1
