subject_gcf	organism_name	infraspecific_name	taxid	species_taxid
GCF_000010665.1	Desulfovibrio magneticus RS-1	strain=RS-1	573370	184917
GCF_000210155.1	Geobacter sulfurreducens KN400	strain=KN400	663917	35554
GCF_000012665.1	Desulfovibrio alaskensis G20	strain=G20	207559	58180
GCF_000012685.1	Myxococcus xanthus DK 1622	strain=DK 1622	246197	34
GCF_000012885.1	Pelobacter carbinolicus DSM 2380	strain=DSM 2380	338963	19
GCF_000012925.1	Geobacter metallireducens GS-15	strain=GS-15	269799	28232
GCF_000013385.1	Anaeromyxobacter dehalogenans 2CP-C	strain=2CP-C	290397	161493
GCF_000014965.1	Syntrophobacter fumaroxidans MPOB	strain=MPOB	335543	119484
GCF_000015045.1	Pelobacter propionicus DSM 2379	strain=DSM 2379	338966	29543
GCF_000015485.1	Desulfovibrio vulgaris DP4	strain=DP4	391774	881
GCF_000017505.1	Anaeromyxobacter sp. Fw109-5	strain=Fw109-5	404589	404589
GCF_000020365.1	Desulfobacterium autotrophicum HRM2	strain=HRM2	177437	2296
GCF_000020385.1	Geobacter lovleyi SZ	strain=SZ	398767	313985
GCF_000020725.1	Geobacter bemidjiensis Bem	strain=Bem	404380	225194
GCF_000020805.1	Anaeromyxobacter sp. K	strain=K	447217	447217
GCF_000021905.1	Desulfatibacillum aliphaticivorans	strain=AK-01	218208	218208
GCF_000022145.1	Anaeromyxobacter dehalogenans 2CP-1	strain=2CP-1	455488	161493
GCF_000022265.1	Geobacter daltonii FRC-32	strain=FRC-32	316067	1203471
GCF_000023225.1	Desulfomicrobium baculatum DSM 4028	strain=DSM 4028	525897	899
GCF_000023445.1	Desulfovibrio salexigens DSM 2638	strain=DSM 2638	526222	880
GCF_000023645.1	Geobacter sp. M21	strain=M21	443144	443144
GCF_000024805.1	Haliangium ochraceum DSM 14365	strain=DSM 14365	502025	80816
GCF_000055945.1	Lawsonia intracellularis PHE/MN1-00	strain=PHE/MN1-00	363253	29546
GCF_000067165.1	Sorangium cellulosum So ce56	strain=So ce 56	448385	56
GCF_000092205.1	Desulfurivibrio alkaliphilus AHT 2	strain=AHT 2	589865	427923
GCF_000143965.1	Desulfarculus baarsii DSM 2075	strain=DSM 2075	644282	453230
GCF_000165485.1	Stigmatella aurantiaca DW4/3-1	strain=DW4/3-1	378806	41
GCF_000166115.1	Desulfovibrio vulgaris RCH1	strain=RCH1	573059	881
GCF_000177215.2	Desulfovibrio sp. FW1012B	strain=FW1012B	644968	644968
GCF_000194135.1	Hippea maritima DSM 10411	strain=DSM 10411	760142	84405
GCF_000195295.1	Desulfobacca acetoxidans DSM 11109	strain=DSM 11109	880072	60893
GCF_000195755.1	Desulfovibrio vulgaris str. Hildenborough	strain=Hildenborough	882	881
GCF_000219105.1	Myxococcus macrosporus	strain=HW-1	35	35
GCF_000233695.2	Desulfobacter postgatei 2ac9	strain=2ac9	879212	2293
GCF_000266945.1	Desulfomonile tiedjei DSM 6799	strain=DSM 6799	706587	2358
GCF_000280925.3	Myxococcus hansupus	strain=mixupus	1297742	1297742
GCF_000331025.1	Desulfovibrio hydrothermalis AM13 = DSM 14728	strain=AM13	1121451	191026
GCF_000341395.1	Desulfocapsa sulfexigens DSM 10523	strain=DSM 10523	1167006	65555
GCF_000341895.1	Pseudodesulfovibrio piezophilus C1TLV30	strain=type strain: C1TLV30	1322246	879567
GCF_000737325.1	Sandaracinus amylolyticus	strain=DSM 53668	927083	927083
GCF_000817955.1	Geobacter pickeringii	strain=G13	345632	345632
