qaccver	saccver	bitscore	evalue	qlen	slen	length	qstart	qend	sstart	send	qcovs	pident	subject_gcf
WP_002851328.1	ADW17910.1	30.8	0.35	788	817	68	8	68	561	628	8	32.353	GCA_000186885.1
WP_002851328.1	APR78040.1	30.8	1.3	788	504	94	333	426	195	277	12	26.596	GCA_001931535.1
WP_002851328.1	SCM74305.1	28.1	2.3	788	542	72	123	192	336	394	9	27.778000000000002	GCA_900095395.1
WP_002851328.1	NP_952340.1	30.0	0.57	788	627	43	387	429	542	584	5	32.558	GCF_000007985.2
WP_002851328.1	WP_011696950.1	28.5	2.2	788	567	71	334	403	51	116	9	30.986	GCF_000014965.1
WP_002851328.1	WP_010939216.1	26.9	4.3	788	312	68	459	516	200	267	7	27.941	GCF_000015485.1
WP_002851328.1	WP_011940194.1	28.9	1.9	788	691	72	520	588	558	629	9	26.389	GCF_000016745.1
WP_002851328.1	WP_041448331.1	27.7	4.1	788	363	29	135	163	289	317	4	44.828	GCF_000017505.1
WP_002851328.1	WP_012662376.1	33.5	0.08	788	808	72	636	704	681	752	9	27.778000000000002	GCF_000020365.1
WP_002851328.1	WP_012470148.1	28.9	1.6	788	1714	52	365	415	46	93	6	30.769000000000002	GCF_000020385.1
WP_002851328.1	WP_012529418.1	30.0	0.57	788	339	38	455	492	63	100	5	36.842	GCF_000020725.1
WP_002851328.1	WP_012612309.1	29.6	0.77	788	387	94	5	93	139	230	11	28.723000000000003	GCF_000021385.1
WP_002851328.1	WP_012624319.1	26.9	3.0	788	347	22	524	545	267	288	3	40.909	GCF_000022125.1
WP_002851328.1	WP_015773719.1	31.2	0.24	788	322	47	391	437	144	190	6	29.787	GCF_000023225.1
WP_002851328.1	WP_015853563.1	34.3	0.027999999999999997	788	427	109	307	414	302	401	14	26.605999999999998	GCF_000023445.1
WP_002851328.1	WP_015838515.1	30.4	0.42	788	339	67	455	521	63	126	9	31.343000000000004	GCF_000023645.1
WP_002851328.1	WP_012829256.1	30.8	0.75	788	333	65	450	514	19	83	8	27.691999999999997	GCF_000024805.1
WP_002851328.1	WP_011188813.1	31.6	0.18	788	534	147	397	517	297	443	15	23.81	GCF_000025945.1
WP_002851328.1	WP_011526600.1	28.1	1.2	788	992	32	748	777	128	159	4	40.625	GCF_000055945.1
WP_002851328.1	WP_012238745.1	30.4	1.6	788	3321	39	214	252	2829	2863	5	43.59	GCF_000067165.1
WP_002851328.1	WP_013164164.1	30.0	0.47	788	634	97	573	665	116	198	12	24.741999999999997	GCF_000092205.1
WP_002851328.1	WP_010939216.1	26.9	4.5	788	312	68	459	516	200	267	7	27.941	GCF_000166115.1
WP_002851328.1	WP_009182989.1	29.6	0.9	788	899	37	398	434	421	457	5	37.838	GCF_000177215.2
WP_002851328.1	WP_014322931.1	28.5	1.8	788	511	86	381	464	390	460	11	30.233	GCF_000189295.2
WP_002851328.1	YP_011147.1	26.9	4.5	788	312	68	459	516	200	267	7	27.941	GCF_000195755.1
WP_002851328.1	WP_014551580.1	31.2	0.23	788	566	112	342	439	455	563	12	27.679000000000002	GCF_000210155.1
WP_002851328.1	WP_014259503.1	32.3	0.11	788	362	79	591	669	154	224	10	29.114	GCF_000212675.2
WP_002851328.1	WP_004073306.1	31.2	0.31	788	784	77	344	420	618	686	10	27.273000000000003	GCF_000233695.2
WP_002851328.1	WP_041286023.1	38.1	0.003	788	689	39	715	753	244	282	5	43.59	GCF_000266945.1
WP_002851328.1	WP_014956201.1	30.8	0.43	788	762	183	592	769	34	196	33	25.136999999999997	GCF_000307105.1
WP_002851328.1	WP_015337761.1	33.1	0.062	788	811	146	284	427	678	808	18	27.397	GCF_000331025.1
WP_002851328.1	WP_011526600.1	28.1	1.2	788	992	32	748	777	128	159	4	40.625	GCF_000331715.1
WP_002851328.1	WP_015404186.1	31.2	0.12	788	146	150	637	783	9	145	19	24.0	GCF_000341395.1
WP_002851328.1	WP_020736894.1	31.2	0.68	788	297	34	545	578	148	181	4	38.235	GCF_000418325.1
WP_002851328.1	WP_021762261.1	30.4	0.51	788	570	106	669	774	156	252	13	23.585	GCF_000468495.1
WP_002851328.1	WP_025391151.1	29.3	0.48	788	431	87	337	423	219	291	11	27.586	GCF_000517565.1
WP_002851328.1	WP_040200363.1	37.7	0.003	788	1074	187	384	561	699	860	23	23.529	GCF_000827125.1
WP_002851328.1	WP_045668150.1	31.6	0.21	788	566	112	342	439	455	563	12	27.679000000000002	GCF_000961035.1
WP_002851328.1	WP_046714932.1	35.4	0.043	788	4091	230	243	450	3323	3539	26	23.478	GCF_000988565.1
WP_002851328.1	WP_050434885.1	31.2	0.63	788	396	70	98	165	1	62	9	34.286	GCF_001189295.1
WP_002851328.1	WP_053551005.1	31.2	0.25	788	345	76	642	711	55	129	9	25.0	GCF_001278055.1
WP_002851328.1	WP_062252898.1	31.2	0.22	788	448	102	373	473	42	132	13	27.451	GCF_001553605.1
WP_002851328.1	WP_066608169.1	30.0	0.39	788	656	38	226	263	465	502	5	31.579	GCF_001553625.1
WP_002851328.1	WP_078063843.1	32.0	0.16	788	829	175	202	373	397	547	22	23.429000000000002	GCF_001563225.1
WP_002851328.1	WP_066064009.1	29.6	0.47	788	330	64	735	785	127	190	6	37.5	GCF_001577525.1
WP_002851328.1	WP_066727129.1	31.2	0.32	788	1074	186	384	564	700	864	23	19.892	GCF_001611275.1
WP_002851328.1	WP_039645489.1	28.5	1.4	788	617	43	387	429	533	575	5	30.233	GCF_001628815.1
WP_002851328.1	WP_020875829.1	31.6	0.17	788	278	48	165	212	88	135	6	33.333	GCF_001854245.1
WP_002851328.1	WP_072287036.1	28.5	1.4	788	406	179	547	706	38	201	20	23.464000000000002	GCF_001887715.1
WP_002851328.1	WP_083553170.1	29.3	0.85	788	731	93	568	658	313	397	12	23.656	GCF_001887775.1
WP_002851328.1	WP_072287036.1	28.5	1.3	788	406	179	547	706	38	201	20	23.464000000000002	GCF_001888165.1
WP_002851328.1	WP_075276343.1	30.4	0.17	788	303	62	301	362	32	90	8	29.031999999999996	GCF_001931505.1
WP_002851328.1	WP_020875829.1	31.6	0.17	788	278	48	165	212	88	135	6	33.333	GCF_002009335.2
WP_002851328.1	WP_012624319.1	26.9	3.3	788	347	22	524	545	267	288	3	40.909	GCF_002334685.1
WP_002851328.1	WP_096399355.1	27.3	1.2	788	591	95	335	429	215	301	12	24.211	GCF_002355955.1
WP_002851328.1	WP_104935432.1	26.6	5.9	788	2251	31	467	497	916	946	4	32.258	GCF_002952055.1
WP_002851328.1	WP_119332950.1	26.9	5.2	788	490	36	669	704	173	205	5	27.778000000000002	GCF_003574175.1
WP_002851328.1	WP_126375774.1	26.9	5.5	788	891	62	373	433	533	589	8	27.419	GCF_003966735.1
WP_002851328.1	WP_129350792.1	27.7	4.1	788	978	84	279	362	436	519	11	21.429000000000002	GCF_004135975.1
WP_002851328.1	WP_111957396.1	32.3	0.13	788	321	71	658	721	146	216	8	23.944000000000003	GCF_004319545.1
WP_002851328.1	WP_136400306.1	28.5	1.4	788	379	77	68	140	249	321	9	24.675	GCF_004801255.1
WP_002851328.1	WP_137423558.1	33.9	0.027999999999999997	788	637	164	298	457	51	205	20	22.561	GCF_005377625.1
WP_002851328.1	WP_072333567.1	28.9	1.0	788	893	56	230	283	43	95	7	30.357	GCF_900116045.1
WP_002851328.1	WP_088536227.1	28.9	0.88	788	188	75	332	406	109	179	10	28.0	GCF_900187405.1
WP_002851328.1	WP_097011831.1	28.9	1.4	788	335	117	593	704	110	206	14	20.513	GCF_900217235.1
